AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],AD_Table_ID[Name],AD_Reference_ID[Name],AD_Process_ID[Value],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Workbench_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name]
AMERPSOFT Personnel Payroll T3,430,P,,,,,AmperRepPayrollListforBank,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,440,P,,,,,AmperRepPayrollLoan,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,450,P,,,,,AmperRepPayrollLoanAll,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,460,P,,,,,AmperRepPayrollLoanToolBar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,465,P,,,,,AmperRepPayrollOtherContractualBenefits,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,470,P,,,,,AmperRepPayrollNNReceiptToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,480,P,,,,,AmperRepPayrollNNReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,490,P,,,,,AmperRepPayrollNPReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,500,P,,,,,AmperRepPayrollNPReceiptsToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,510,P,,,,,AmperRepPayrollNUReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,520,P,,,,,AmperRepPayrollNUReceiptsToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,530,P,,,,,AmperRepPayrollNVReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,540,P,,,,,AmperRepPayrollNVReceiptsToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,550,P,,,,,AmperRepPayrollPIReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,560,P,,,,,AmperRepPayrollPIReceiptsToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,570,P,,,,,AmperRepPayrollPLReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,580,P,,,,,AmperRepPayrollPLReceiptsToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,590,P,,,,,AmperRepPayrollPOReceiptsToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,600,P,,,,,AmperRepPayrollPOReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,610,P,,,,,AmperRepPayrollPRReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,615,P,,,,,AmperRepPayrollPRReceiptsToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,620,P,,,,,AmperRepPayrollPRReceiptsReverse,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,625,P,,,,,AmperRepPayrollPRReceiptsReverseToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,644,P,,,,,AmperRepPayrollReceiptsTO Toolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,646,P,,,,,AmperRepPayrollReceiptsTOReport,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,650,P,,,,,AmperRepPayrollSummary,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,660,P,,,,,AmperRepPayrollSummaryOnePeriod,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,670,P,,,,,AmperRepPersonnelPayrollAttendance,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,680,P,,,,,AmperRepPersonnelWithholdingTaxReceipt,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,1000,P,,,,,AmperProcPayrollProvisionSocialBenefits,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,1010,P,,,,,AmperProcPayrollProvisionUtilities,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,1020,P,,,,,AmperProcPayrollProvisionVacation,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,1030,P,,,,,AmperRepPayrollNOReceiptToolbar,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,1040,P,,,,,AmperRepPayrollNOReceipts,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,1050,P,,,,,AmperRepPayrollReceiptsTI,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,1060,P,,,,,AmperRepPayrollReceiptsTI,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
AMERPSOFT Personnel Payroll T3,1070,P,,,,,AmperProcPayrollRefreshOnePeriod,,,,,,ALL,,,,,,,,System Administrator,,,,,,,,,Product Info
