AD_Org_ID[Name],AD_Package_Exp_ID[Name],Line,Type,AD_EntityType_ID[EntityType],AD_Menu_ID[Name],FileName,File_Directory,Target_Directory,Destination_FileName,Destination_Directory,AD_Table_ID[Name],DBType,SQLStatement,AD_Package_Code_Old,AD_Package_Code_New,AD_Form_ID[Name],AD_Process_ID[Value],AD_Workflow_ID[Value],AD_Window_ID[Name],AD_Role_ID[Name],AD_ReportView_ID[Name],AD_ImpFormat_ID[Name],AD_Val_Rule_ID[Name],AD_Message_ID[Value],AD_PrintFormat_ID[Name],ReleaseNo,Description,AD_Reference_ID[Name],AD_ModelValidator_ID[Name],AD_InfoWindow_ID[Name],ExecCode
*,AMERPSOFT Personnel and Payroll #4,580,P,,,,,,,,,ALL,,,,,AmperRepPayrollPLReceiptsToolbar,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,590,P,,,,,,,,,ALL,,,,,AmperRepPayrollPOReceiptsToolbar,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,600,P,,,,,,,,,ALL,,,,,AmperRepPayrollPOReceipts,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,610,P,,,,,,,,,ALL,,,,,AmperRepPayrollPRReceipts,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,615,P,,,,,,,,,ALL,,,,,AmperRepPayrollPRReceiptsToolbar,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,620,P,,,,,,,,,ALL,,,,,AmperRepPayrollPRReceiptsReverse,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,625,P,,,,,,,,,ALL,,,,,AmperRepPayrollPRReceiptsReverseToolbar,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,644,P,,,,,,,,,ALL,,,,,AmperRepPayrollReceiptsTO Toolbar,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,646,P,,,,,,,,,ALL,,,,,AmperRepPayrollReceiptsTOReport,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,650,P,,,,,,,,,ALL,,,,,AmperRepPayrollSummary,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,660,P,,,,,,,,,ALL,,,,,AmperRepPayrollSummaryOnePeriod,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,670,P,,,,,,,,,ALL,,,,,AmperRepPersonnelPayrollAttendance,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,680,P,,,,,,,,,ALL,,,,,AmperRepPersonnelWithholdingTaxReceipt,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,1000,P,,,,,,,,,ALL,,,,,AmperProcPayrollProvisionSocialBenefits,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,1010,P,,,,,,,,,ALL,,,,,AmperProcPayrollProvisionUtilities,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,1020,P,,,,,,,,,ALL,,,,,AmperProcPayrollProvisionVacation,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,1030,P,,,,,,,,,ALL,,,,,AmperRepPayrollNOReceiptToolbar,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,1040,P,,,,,,,,,ALL,,,,,AmperRepPayrollNOReceipts,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,1070,P,,,,,,,,,ALL,,,,,AmperProcPayrollRefreshOnePeriod,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,1080,P,,,,,,,,,ALL,,,,,AmperProcPeriodCreateFromPeriod,,,,,,,,,,,,,,
*,AMERPSOFT Personnel and Payroll #4,10000,D,,,,,,,,Package Exp.,ALL,SELECT * FROM AD_Package_Exp WHERE AD_Package_Exp_UU='755c674c-f99b-42e5-ad05-8054f647890c';AD_Package_Exp_Detail,,,,,,,,,,,,,,,,,,
